p,lambda
2,-0.5303300858899106
3,0.5987336124929452
5,0.691213333204735
7,-0.3765476965589636
11,1.0008729094970374
13,-0.43156130329250947
17,-1.1796504994162533
19,0.9878027871269625
23,0.6039751046808208
29,1.1625147173386323
31,-0.33151221105689116
37,-0.4319869472570347
41,0.41534529983354157
43,-0.017765278868599747
47,1.7091720053051764
53,-0.5242407305685585
59,-0.9449626830605437
61,1.0545698840353397
67,-1.400911795679086
71,0.6440619714364049
73,0.08264249829148113
79,1.393695673240482
83,-0.8174440932727972
89,-0.4744297476367122
97,0.8869421366421695
101,0.7738963517671898
103,-1.9188140482390927
107,0.6220057011843813
109,0.457445359887758
113,-0.4347476180485794
127,-0.7056153879520308
131,1.4302139412474084
137,-0.5261188396158165
139,0.9755347397868819
149,-1.244283248554031
151,-0.8546527390422802
157,1.100312945026521
163,-0.24358372828709915
167,1.64117474808569
173,-0.46628036241625553
179,0.6838727486079988
181,-0.38138600770111913
191,0.7863276952927916
193,1.4629324581446685
197,-0.6906188935435831
199,0.16545233115409616
211,-1.1181984323916385
223,0.8906667937347339
227,-0.14974263073291583
229,-1.2407502520965745
233,-1.6755210007960768
239,-0.5922213428954166
241,-0.01832714735025024
251,0.8225671850988137
257,1.3331415094618229
263,-1.1895422524349017
269,1.1184496072248964
271,-0.15659287518170759
277,-0.6049314649357153
281,0.7162632714237533
283,0.5473102727183715
293,-0.6473121788770237
307,0.32043882046436456
311,0.9720803568472738
313,-1.8717401468031656
317,1.4627831325089138
331,-0.8796178409834298
337,1.5164428302419948
347,-1.6609986144604143
349,-0.26511198409378905
353,0.24188538400454385
359,1.3947393974523838
367,-1.394811673089603
373,-0.39558456232731454
379,0.96208316593288
383,1.4350370856672556
389,-0.8530931489493598
397,1.0591234446666757
401,-0.6425214358293547
409,-0.8907220028431033
419,0.277676886997816
421,0.6305634136418908
431,-0.2324626766230818
433,0.3153555881695594
439,-0.08497876969037335
443,0.9144138147439831
449,-1.583644564138928
457,0.7121890880021022
461,-1.631382713434307
463,0.2668908524435654
467,-1.2862050020733122
479,1.9041030081645565
487,-0.3637773342225795
491,-0.7651988735882415
499,-0.15753824894622984
503,0.7015058309629563
509,0.11125089445132214
521,1.0586231676795734
523,-0.02438195995330524
541,-1.5727258062334188
547,0.65670622704407
557,0.14817409914647342
563,0.18252359338324753
569,0.9505960521270308
571,0.9874468062837147
577,-0.5712931263174574
587,-1.4416363071465168
593,-0.1698625635531125
599,-0.9017954019290141
601,1.2169163723723146
607,-1.229474122641621
613,1.1539662022285044
617,0.01095707572913278
619,1.8688501518908582
631,-1.696603883651293
641,0.36801782236490993
643,0.10906568002140998
647,1.1914009019482181
653,-0.39069488053985557
659,-0.7099341295866423
661,-1.6429679190652464
673,1.3237479406987467
677,-0.38187963791613483
683,-0.7803593728109975
691,-0.6634053209654074
701,1.2779485768773315
709,0.14638757050755766
719,1.8845202571147157
727,0.4501139726392523
733,1.3812147394804264
739,-1.403115232147792
743,0.22080855242517836
751,1.0413282815798444
757,-0.09752823931172426
761,-1.0999025360261434
769,0.3384648860632665
773,-1.4524570665259775
787,1.5617220734861175
797,0.25361484801885664
809,0.5686393002245859
811,-0.5089677695085744
821,0.02611495228173877
823,-1.2487828238352405
827,0.02449944298594401
829,1.6007704261442774
839,-0.6611840563784884
853,-1.135975040102002
857,-1.6445804840670353
859,0.39703184845280465
863,0.7687869201697862
877,-1.8291369844958854
881,0.2680155168847289
883,0.03235513778086103
887,0.3497395760141222
907,-0.004564445628108403
911,-0.5812983599693308
919,-0.24474557020398402
929,0.16952408295690083
937,1.7475892989669453
941,-1.5419813173146504
947,-1.2164863275465185
953,1.6497262840369342
967,0.7034218813968641
971,-0.7988835418366619
977,-0.31407378293569205
983,0.4132626111453657
991,0.7790555044116909
997,-0.6880164858276949
